"credit","income","ownsRealty","age"
312768,112500,"N",63.2657534246575
395766,225000,"N",57.0712328767123
1042560,157500,"N",29.0082191780822
521280,225000,"Y",27.0027397260274
270000,180000,"Y",42.9041095890411
728460,337500,"N",22.2986301369863
225000,90000,"N",31.3013698630137
531706.5,157500,"N",38.813698630137
497520,315000,"N",24.4794520547945
816660,135000,"N",27.8465753424658
135000,90000,"N",41.1123287671233
528687,315000,"Y",55.6328767123288
213588,135000,"Y",34.0191780821918
1552500,247500,"Y",54.3753424657534
592560,225000,"N",26.6821917808219
284400,180000,"Y",37.627397260274
206271,72000,"N",23.6082191780822
1850544,135000,"Y",44.386301369863
1255680,202500,"Y",29.2
675000,123750,"Y",29.9424657534247
143910,90000,"Y",67.3178082191781
256500,67500,"Y",28.8904109589041
450000,157500,"N",38.1369863013699
675000,112500,"N",40.1424657534247
675000,103500,"Y",31.027397260274
351000,247500,"Y",34.3890410958904
284400,54000,"N",30.5150684931507
286704,90000,"Y",35.0328767123288
835380,225000,"Y",45.7561643835616
615109.5,270000,"N",62.7561643835616
194742,90000,"N",56.7534246575342
1034680.5,157500,"N",27.0739726027397
284400,76500,"N",28.0986301369863
545040,112500,"Y",36.0493150684932
1078200,270000,"Y",45.7972602739726
254700,90000,"Y",66.8904109589041
332946,225000,"Y",36.2630136986301
808650,225000,"N",57.1260273972603
463284,225000,"Y",31.5260273972603
1069285.5,225000,"Y",44.0520547945206
450000,198000,"N",27.5753424657534
1006920,225000,"N",38.4821917808219
225000,112500,"N",39.3506849315068
219042,135000,"Y",41.158904109589
521451,252000,"Y",63.6
526491,180000,"Y",62.3780821917808
509602.5,135000,"Y",34.0958904109589
284400,38250,"Y",62.4219178082192
636138,121500,"Y",38.3178082191781
283419,135000,"Y",23.8739726027397
119448,90000,"Y",58.2219178082192
1252363.5,225000,"Y",57.9260273972603
1147500,90000,"Y",55.2219178082192
790830,292500,"N",45.841095890411
679500,180000,"Y",32.813698630137
269550,112500,"Y",48.7917808219178
660244.5,148500,"N",52.6082191780822
1506816,225000,"N",44.4301369863014
168102,144000,"N",63.1424657534247
646920,157500,"N",26.4630136986301
450000,157500,"N",43.7397260273973
229500,81000,"N",53.4054794520548
306000,90000,"Y",52.0575342465753
9e+05,382500,"Y",39.6
1552500,360000,"Y",47.4794520547945
360000,94500,"N",27.7342465753425
203760,67500,"Y",33.8876712328767
1528200,270000,"Y",46.1369863013699
348264,144000,"Y",25.1835616438356
755190,180000,"N",34.372602739726
450000,202500,"Y",49.7287671232877
508495.5,157500,"N",62.8767123287671
545040,180000,"N",32.4931506849315
395766,225000,"N",35.1835616438356
152820,148500,"Y",54.1095890410959
1494486,180000,"Y",39.5260273972603
161730,81000,"Y",38.0356164383562
735579,202500,"Y",46.572602739726
225000,103500,"N",31.9616438356164
760225.5,144000,"N",46.0547945205479
1495435.5,225000,"Y",34.9397260273973
450000,225000,"Y",36.1315068493151
675000,202500,"Y",53.4465753424658
91692,112500,"Y",49.1397260273973
1125000,270000,"Y",56.6958904109589
1125000,202500,"N",36.0383561643836
490495.5,270000,"Y",45.241095890411
254700,225000,"Y",65.8109589041096
545040,112500,"N",28.8712328767123
450000,225000,"N",48.2630136986301
634482,225000,"Y",50.5698630136986
418500,74250,"N",23.786301369863
152820,90000,"N",32.2630136986301
191880,40500,"N",58.5041095890411
1125000,247500,"Y",45.9506849315068
