"sampleId","mean","sd","n","mu0"
"Sample 1",2.87570218254104,2.29896389948725,82,3
"Sample 10",3.06865501170095,2.61429891300509,82,3
"Sample 100",2.78748586867104,2.40293601899732,82,3
"Sample 1000",3.26933169272891,2.59552362080151,82,3
"Sample 1001",3.2363188877436,2.58002622447459,82,3
"Sample 1002",3.12008547341351,2.76846166733111,82,3
"Sample 1003",3.19971163514099,2.48763822964555,82,3
"Sample 1004",3.38322035236826,2.27691140187993,82,3
"Sample 1005",2.32986493994939,2.27060171811638,82,3
"Sample 1006",3.10455078266131,2.32459491101912,82,3
"Sample 1007",2.30882468974709,2.55234383305316,82,3
"Sample 1008",3.02483131868936,2.76083644428794,82,3
"Sample 1009",3.14799284362264,2.23265779118472,82,3
"Sample 101",2.85403661949956,2.15486002266333,82,3
"Sample 1010",2.81271598784486,2.68493992989272,82,3
"Sample 1011",3.0401127828329,2.43871864021388,82,3
"Sample 1012",3.12898090909432,2.18890117719541,82,3
"Sample 1013",3.42172856198197,2.40522028559121,82,3
"Sample 1014",2.98058228245689,2.09953861068563,82,3
"Sample 1015",3.15140824697089,2.08849979295622,82,3
"Sample 1016",3.15604742558095,2.41548994542703,82,3
"Sample 1017",3.23549807533621,2.3484032154805,82,3
"Sample 1018",2.83795415118862,2.56025001309116,82,3
"Sample 1019",3.67966791466165,2.66424362856398,82,3
"Sample 102",2.73993860059193,2.59826658611577,82,3
"Sample 1020",3.28111670445829,2.51317037680348,82,3
"Sample 1021",2.92619489593895,2.71207199724419,82,3
"Sample 1022",3.05624825081182,2.20133741442686,82,3
"Sample 1023",2.85035967774909,2.47945285337204,82,3
"Sample 1024",3.54887218699221,2.4630064702459,82,3
"Sample 1025",3.13311693579198,2.46402686557837,82,3
"Sample 1026",2.74533834751388,2.31477158945421,82,3
"Sample 1027",2.67921300788721,2.53352614966623,82,3
"Sample 1028",2.60879526602618,2.69044761542157,82,3
"Sample 1029",3.43230558203226,2.81075515810918,82,3
"Sample 103",3.02202421636579,2.42288464324471,82,3
"Sample 1030",3.12590392933944,2.46980826458029,82,3
"Sample 1031",3.17819132767982,2.46813959890041,82,3
"Sample 1032",2.50643989614233,2.59331306643154,82,3
"Sample 1033",3.72262705008708,2.39280325068344,82,3
"Sample 1034",3.04419769599684,2.67467291396622,82,3
"Sample 1035",2.65872905813666,2.56468728897032,82,3
"Sample 1036",2.93314676015438,2.67804054463441,82,3
"Sample 1037",3.1144576435675,2.59353823796581,82,3
"Sample 1038",2.80406912469617,2.88324483097574,82,3
"Sample 1039",2.70170112097051,2.66568955721401,82,3
"Sample 104",3.03277359180749,2.62148080167092,82,3
"Sample 1040",3.22724392431562,2.6593164611722,82,3
"Sample 1041",3.09010353442922,2.18353307532544,82,3
"Sample 1042",2.98426768663534,2.21873842745417,82,3
"Sample 1043",3.17126695565157,3.00906988689859,82,3
"Sample 1044",3.20285803408987,2.13009386561811,82,3
"Sample 1045",2.84386207860659,2.72875812971945,82,3
"Sample 1046",3.40290071438675,2.58617109870393,82,3
"Sample 1047",3.31445608682008,2.29848909007336,82,3
"Sample 1048",2.88608050276692,2.63678453756364,82,3
"Sample 1049",3.44131182952353,2.59739574683243,82,3
"Sample 105",3.33058942262038,2.16182442091523,82,3
"Sample 1050",3.27133610674072,2.60713011664677,82,3
"Sample 1051",3.90242663692119,2.93082198992035,82,3
"Sample 1052",3.13672538177061,2.33432902379256,82,3
"Sample 1053",2.59828127238327,2.57656005185841,82,3
"Sample 1054",3.2495433428636,2.59817347059526,82,3
"Sample 1055",2.93185415962282,2.6047657740887,82,3
"Sample 1056",3.44210393016971,2.67198394803062,82,3
"Sample 1057",3.34589521628508,2.76493047373882,82,3
"Sample 1058",2.46760870551812,2.8356979039515,82,3
"Sample 1059",3.20076863661481,2.57395033230762,82,3
"Sample 106",2.7649705208111,2.78862361172986,82,3
"Sample 1060",2.57288119524953,2.66036174055954,82,3
"Sample 1061",3.35962577708222,2.70971000900654,82,3
"Sample 1062",2.89096663274186,2.85659833537745,82,3
"Sample 1063",2.73526334681639,2.47231130291799,82,3
"Sample 1064",2.82194317064146,2.32966185639391,82,3
"Sample 1065",3.08950957685919,2.4590966253337,82,3
"Sample 1066",2.62903301056344,2.55335767301485,82,3
"Sample 1067",2.77878975921161,2.53702801132336,82,3
"Sample 1068",2.92843528691853,2.7199130079684,82,3
"Sample 1069",2.9592225867585,2.51214236004885,82,3
"Sample 107",2.81939546969578,2.48602115440401,82,3
"Sample 1070",3.11241610270425,2.2008611284622,82,3
"Sample 1071",2.72620384342539,2.42780502103969,82,3
"Sample 1072",3.10703701856586,2.45315817821629,82,3
"Sample 1073",2.68320465233181,2.41831152762495,82,3
"Sample 1074",3.00651516022316,2.54977333371367,82,3
"Sample 1075",3.04971556842681,2.68773794213407,82,3
"Sample 1076",3.02121320721655,2.78920917697137,82,3
"Sample 1077",2.50265949570154,2.34213563546343,82,3
"Sample 1078",2.90715089187398,2.54960394599618,82,3
"Sample 1079",2.85202397949297,2.41555083657131,82,3
"Sample 108",2.8339429805579,2.4265777358935,82,3
"Sample 1080",3.44172729623323,2.67437301383752,82,3
"Sample 1081",3.16075992849814,2.78014504093696,82,3
"Sample 1082",2.8118745991134,2.62955452649454,82,3
"Sample 1083",2.5804390141129,2.50822988910115,82,3
"Sample 1084",2.83163452064607,2.36129605151875,82,3
"Sample 1085",3.16043630836227,2.67799149359288,82,3
"Sample 1086",2.87595873792179,2.97124935321858,82,3
"Sample 1087",3.00256076417475,2.57428915732841,82,3
"Sample 1088",3.31893069058057,2.59866388621328,82,3
"Sample 1089",3.17722751927649,2.54595065347134,82,3
"Sample 109",3.08151772096961,2.47864449149892,82,3
"Sample 1090",2.90704596623755,2.43823378147691,82,3
"Sample 1091",2.57299984739831,2.53662283825248,82,3
"Sample 1092",3.32050525133115,2.28561316555969,82,3
"Sample 1093",2.55489507434292,2.65808606004531,82,3
"Sample 1094",3.18599635364318,2.38781325248752,82,3
"Sample 1095",2.8175667051629,2.56351421782173,82,3
"Sample 1096",2.74723005271189,2.24104531157004,82,3
"Sample 1097",2.74856777627493,2.61449167895772,82,3
"Sample 1098",2.58810975268605,2.4684453666645,82,3
"Sample 1099",2.50775428347655,2.20656651992939,82,3
"Sample 11",2.72564275470703,2.59945161602659,82,3
"Sample 110",2.48073361931983,2.62788958308194,82,3
"Sample 1100",2.90829569117887,2.64100853204489,82,3
"Sample 1101",2.96613670285529,2.56989655830701,82,3
"Sample 1102",2.91240361167172,2.87345223456732,82,3
"Sample 1103",2.84330250304082,2.36800891300037,82,3
"Sample 1104",2.86855171877842,1.90608816284461,82,3
"Sample 1105",3.26869486064107,2.41058986996134,82,3
"Sample 1106",2.74735562157877,2.7102434364066,82,3
"Sample 1107",2.99965633722069,2.58755985331048,82,3
"Sample 1108",2.94206325878347,2.92679695052305,82,3
"Sample 1109",3.31455969262228,2.25055627095176,82,3
"Sample 111",3.26541158807612,2.80354120543303,82,3
"Sample 1110",3.25944247420087,2.55194832094134,82,3
"Sample 1111",3.24480329484565,2.78378548250772,82,3
"Sample 1112",3.56041805496523,2.08568297694027,82,3
"Sample 1113",2.86585095841932,2.28231899934638,82,3
"Sample 1114",2.75262838231447,2.4366107542899,82,3
"Sample 1115",2.86223249345999,2.82262602278257,82,3
"Sample 1116",3.06451077193376,2.50462106032222,82,3
"Sample 1117",3.37998983245852,2.60723476113824,82,3
"Sample 1118",3.02501002567875,2.43850258568939,82,3
"Sample 1119",3.01759306467797,2.46396732789371,82,3
"Sample 112",3.06129547840772,2.71962771117783,82,3
"Sample 1120",3.00930893591481,2.6566632557488,82,3
"Sample 1121",2.90414597750146,2.61605293702966,82,3
"Sample 1122",3.04712269128805,2.41831939812333,82,3
"Sample 1123",2.99477625341311,2.08740006733412,82,3
"Sample 1124",3.01923287339882,2.5302710341432,82,3
"Sample 1125",3.0918960509902,2.57021904173919,82,3
"Sample 1126",2.93770213010422,2.21113298244293,82,3
"Sample 1127",2.44831849540341,2.5784981505615,82,3
"Sample 1128",2.55499242580857,2.51844436614962,82,3
"Sample 1129",3.2123231331106,2.62709727226419,82,3
"Sample 113",3.42796302924971,2.13731057771604,82,3
"Sample 1130",2.93105059333865,2.464739393082,82,3
"Sample 1131",2.79742921486609,2.2505970651365,82,3
"Sample 1132",2.49663327587003,1.99429067123618,82,3
"Sample 1133",2.5420952551125,2.44803018116052,82,3
"Sample 1134",2.43516112074288,2.53683578790747,82,3
"Sample 1135",3.16465850693301,2.37109743099526,82,3
"Sample 1136",3.0638152824568,2.50930951116522,82,3
"Sample 1137",3.25004735440527,2.38394263956672,82,3
"Sample 1138",2.90633241588575,2.43115732498617,82,3
"Sample 1139",2.48963147819975,3.05137553047333,82,3
"Sample 114",3.0766328626208,2.59758264812953,82,3
"Sample 1140",2.82057967989043,2.51237538908722,82,3
"Sample 1141",3.34829099928693,2.63665707118151,82,3
"Sample 1142",3.1342681733386,2.56359676557452,82,3
"Sample 1143",2.86874471898178,2.339425141498,82,3
"Sample 1144",3.29181203491893,2.53308138846594,82,3
"Sample 1145",3.4483497856887,2.26890940574966,82,3
"Sample 1146",3.12112518005152,2.6572971278304,82,3
"Sample 1147",3.20141264643425,2.56059778561703,82,3
"Sample 1148",2.84028642923202,2.87064494400001,82,3
"Sample 1149",2.55680320676044,2.50681108682338,82,3
"Sample 115",2.47152537595199,2.38083946623642,82,3
"Sample 1150",2.83121626976411,2.42744651633685,82,3
"Sample 1151",2.39628621455025,2.57535956078934,82,3
"Sample 1152",3.3157350856485,2.43276069444515,82,3
"Sample 1153",3.51555285959776,2.23918402826599,82,3
"Sample 1154",3.09286141672439,2.19964374389704,82,3
"Sample 1155",3.08702206925878,2.32397499100278,82,3
"Sample 1156",2.87055086886533,2.42784200939026,82,3
"Sample 1157",3.27664262931091,2.89432239205315,82,3
"Sample 1158",2.23307686030271,2.56577143881534,82,3
"Sample 1159",3.30707847003033,2.38124209054833,82,3
"Sample 116",3.08300345565409,2.38971847066266,82,3
"Sample 1160",3.00510293064492,2.87823716218456,82,3
"Sample 1161",2.88508431928563,2.29709500925291,82,3
"Sample 1162",3.2393395276896,2.38102326022417,82,3
"Sample 1163",3.25557117026977,2.4945264062948,82,3
"Sample 1164",3.59127663065657,2.21056259879916,82,3
"Sample 1165",2.97103130585782,2.5560898150951,82,3
"Sample 1166",3.31968485399065,2.71316163874066,82,3
"Sample 1167",2.78147430886704,2.54993108402634,82,3
"Sample 1168",2.67178115460273,2.49088942280923,82,3
"Sample 1169",2.54842409899705,2.05667065404294,82,3
"Sample 117",3.19123131806507,2.46411870767423,82,3
"Sample 1170",3.08400733590276,2.82000150638352,82,3
"Sample 1171",2.86006889675589,2.43478193265945,82,3
"Sample 1172",2.73787830281624,2.58964423322949,82,3
"Sample 1173",3.11473811531778,2.50657738070413,82,3
"Sample 1174",2.83943495206749,2.74136708350792,82,3
"Sample 1175",2.68798735097821,2.25754308356465,82,3
"Sample 1176",2.94758403003291,2.37860670330737,82,3
"Sample 1177",2.76413011149117,2.33269293559797,82,3
"Sample 1178",3.04934397766946,2.38878774734822,82,3
"Sample 1179",2.88281346918945,2.83546790230782,82,3
"Sample 118",2.44169977894701,2.72581735742125,82,3
"Sample 1180",2.84500998951642,2.62870901413094,82,3
"Sample 1181",3.16073379529525,2.55870295087508,82,3
"Sample 1182",3.03157743703813,2.78452557037842,82,3
"Sample 1183",3.08203774742592,2.17697107607807,82,3
"Sample 1184",3.35456155446112,2.28752602289706,82,3
"Sample 1185",3.39049616336323,2.2854336154328,82,3
"Sample 1186",2.76165880862529,2.41906437125731,82,3
"Sample 1187",2.66530709707357,2.43192371654871,82,3
"Sample 1188",3.21630642005111,2.27854183685657,82,3
"Sample 1189",2.99309515390844,2.65857562742769,82,3
"Sample 119",3.42764650935968,2.04054855509821,82,3
"Sample 1190",3.25601717102629,3.01817620366965,82,3
"Sample 1191",2.9946901632548,2.5943561860729,82,3
"Sample 1192",3.32917795087408,2.90297164889579,82,3
